,company_name,company_type,company_loc,company_size,job_name,job_salary,edu_level,emp_type,company_score,No
308,浙江金科文化产业股份有限公司,上市公司,广州-天河区,1000-9999人,数据分析（运营经理/主管）,10K-15K,本科,全职,309.432,309.0
309,大连焱展信息技术有限公司,民营,大连,100-499人,数据库开发,4K-6K,大专,全职,309.332,310.0
310,广州棒谷科技股份有限公司,民营,深圳,1000-9999人,电商产品开发,4K-8K,大专,全职,309.04,311.0
311,南京君合创胜数据科技有限责任公司,民营,南京,100-499人,数据开发工程师（政企）,8K-14K,本科,全职,308.88,312.0
312,衣品天成,民营,杭州,1000-9999人,高级BI报表开发工程师,10K-18K,本科,全职,308.736,313.0
313,OPPO广东移动通信有限公司,民营,成都,1000-9999人,高级数据分析工程师（成都）,15K-30K,本科,全职,308.696,314.0
314,北京奇安信科技有限公司,其它,北京,1000-9999人,java开发工程师,15K-30K,本科,全职,308.46,315.0
315,恒安嘉新(北京)科技股份公司,民营,北京,500-999人,高级大数据开发工程师（Spark）,15K-30K,本科,全职,308.032,316.0
316,恒安嘉新(北京)科技股份公司,民营,北京,500-999人,数据分析岗（外派）,10K-15K,本科,全职,308.0,317.0
317,中科软科技股份有限公司,股份制企业,天津,1000-9999人,中高级大数据开发工程师,10K-20K,本科,全职,308.0,318.0
318,广州统一企业有限公司,上市公司,广州-黄埔区,1000-9999人,Hadoop开发工程师,5.5K-8K,本科,全职,308.0,319.0
319,深圳世联行地产顾问股份有限公司,上市公司,深圳-南山区,1000-9999人,数据分析专员,7K-14K,本科,全职,308.0,320.0
320,辽宁邮电规划设计院有限公司,民营,南京-建邺区,500-999人,大数据工程师,10K-15K,本科,全职,308.0,321.0
321,深圳市康拓普信息技术有限公司,国企,深圳-福田区,1000-9999人,数据分析师（电力行业）,15K-20K,本科,全职,308.0,322.0
322,四维图新,国企,北京,500-999人,大数据开发工程师,校招,,校园,308.0,323.0
323,四维图新,国企,北京,500-999人,java开发工程师,校招,,校园,308.0,324.0
324,软通动力信息技术(集团)有限公司,上市公司,深圳-南山区,10000人以上,移动端测试开发-百度,8K-9K,本科,全职,308.0,325.0
325,软通动力信息技术(集团)有限公司,上市公司,深圳-南山区,10000人以上,PHP开发工程师- 百度,9K-11K,本科,全职,308.0,326.0
326,北京中电普华信息技术有限公司,国企,北京-海淀区,1000-9999人,高级研发工程师（大数据模型开发）,15K-25K,本科,全职,308.0,327.0
327,北京易诚高科科技发展有限公司,民营,北京-朝阳区,100-499人,语音开发工程师,15K-20K,本科,全职,308.0,328.0
328,上海丽人丽妆化妆品有限公司,民营,上海,1000-9999人,高级数据分析师（偏技术）,10K-15K,本科,全职,307.764,329.0
329,深圳市长亮科技股份有限公司,上市公司,北京,1000-9999人,ETL开发工程师,15K-20K,本科,全职,306.572,330.0
